id,gestion,estudiante_id,unidad_educativa_id,curso_paralelo_origen,estado
580,2024,580,13,A,A
581,2024,581,13,C,A
582,2024,582,13,B,A
583,2024,583,13,C,A
584,2024,584,13,C,A
585,2024,585,13,B,A
586,2024,586,13,B,A
587,2024,587,13,B,A
588,2024,588,13,C,A
589,2024,589,1,B,A
590,2024,590,1,B,A
591,2024,591,29,A,A
592,2024,592,29,A,A
593,2024,593,1,A,A
594,2024,594,1,B,A
595,2024,595,1,B,A
596,2024,596,13,C,A
650,2024,650,1,B,A
651,2024,651,1,A,A
652,2024,652,5,A,A
653,2024,653,25,A,A
654,2024,654,6,B,A
655,2024,655,10,A,A
676,2024,676,6,A,A
677,2024,677,17,A,A
678,2024,678,19,B,A
679,2024,679,25,A,A
680,2024,680,10,A,A
681,2024,681,7,A,A
656,2024,656,25,A,A
657,2024,657,25,B,A
658,2024,658,1,B,A
659,2024,659,10,A,A
660,2024,660,10,A,A
661,2024,661,29,A,A
662,2024,662,20,B,A
663,2024,663,20,A,A
664,2024,664,13,B,A
665,2024,665,7,A,A
666,2024,666,7,A,A
667,2024,667,19,B,A
668,2024,668,19,A,A
669,2024,669,19,B,A
670,2024,670,13,B,A
671,2024,671,19,A,A
701,2024,701,13,B,A
702,2024,702,6,C,A
703,2024,703,19,C,A
704,2024,704,19,C,A
705,2024,705,19,C,A
706,2024,706,19,C,A
707,2024,707,10,A,A
708,2024,708,10,A,A
709,2024,709,10,A,A
710,2024,710,10,A,A
711,2024,711,21,A,A
712,2024,712,21,A,A
713,2024,713,21,A,A
714,2024,714,21,A,A
715,2024,715,21,A,A
716,2024,716,21,A,A
717,2024,717,20,B,A
718,2024,718,20,A,A
719,2024,719,20,B,A
720,2024,720,20,B,A
721,2024,721,7,A,A
722,2024,722,6,B,A
723,2024,723,1,A,A
724,2024,724,19,B,A
725,2024,725,25,A,A
726,2024,726,25,A,A
727,2024,727,1,B,A
728,2024,728,1,B,A
729,2024,729,29,A,A
730,2024,730,29,A,A
731,2024,731,1,B,A
732,2024,732,25,B,A
733,2024,733,25,A,A
734,2024,734,6,B,A
735,2024,735,1,B,A
736,2024,736,29,A,A
737,2024,737,21,B,A
738,2024,738,1,B,A
739,2024,739,25,A,A
740,2024,740,25,B,A
741,2024,741,25,B,A
742,2024,742,1,B,A
743,2024,743,25,B,A
744,2024,744,29,A,A
745,2024,745,6,A,A
746,2024,746,25,A,A
747,2024,747,6,C,A
748,2024,748,29,A,A
749,2024,749,21,B,A
750,2024,750,21,A,A
751,2024,751,21,B,A
752,2024,752,21,B,A
753,2024,753,21,A,A
754,2024,754,21,B,A
755,2024,755,21,A,A
756,2024,756,1,B,A
757,2024,757,6,A,A
758,2024,758,1,B,A
759,2024,759,21,A,A
760,2024,760,29,A,A
761,2024,761,29,A,A
762,2024,762,29,A,A
763,2024,763,29,A,A
764,2024,764,21,B,A
765,2024,765,25,B,A
766,2024,766,1,B,A
767,2024,767,25,B,A
768,2024,768,25,B,A
769,2024,769,6,A,A
770,2024,770,10,A,A
771,2024,771,6,B,A
772,2024,772,6,A,A
773,2024,773,6,A,A
774,2024,774,20,A,A
775,2024,775,10,A,A
776,2024,776,1,B,A
778,2024,778,1,B,A
779,2024,779,13,A,A
780,2024,780,19,B,A
781,2024,781,25,B,A
782,2024,782,20,B,A
783,2024,783,19,A,A
784,2024,784,20,A,A
785,2024,785,13,B,A
786,2024,786,20,A,A
787,2024,787,21,B,A
788,2024,788,25,B,A
789,2024,789,19,B,A
790,2024,790,20,B,A
791,2024,791,19,B,A
792,2024,792,6,A,A
793,2024,793,13,C,A
794,2024,794,6,A,A
795,2024,795,19,B,A
796,2024,796,20,B,A
797,2024,797,20,B,A
798,2024,798,19,B,A
799,2024,799,13,A,A
800,2024,800,13,B,A
801,2024,801,19,B,A
802,2024,802,6,A,A
803,2024,803,20,B,A
804,2024,804,10,A,A
805,2024,805,5,A,A
806,2024,806,1,B,A
807,2024,807,13,A,A
808,2024,808,13,A,A
809,2024,809,13,B,A
810,2024,810,13,A,A
811,2024,811,13,B,A
812,2024,812,6,B,A
813,2024,813,1,B,A
814,2024,814,13,C,A
815,2024,815,6,B,A
816,2024,816,6,A,A
817,2024,817,11,A,A
818,2024,818,21,B,A
819,2024,819,21,B,A
820,2024,820,11,A,A
821,2024,821,11,A,A
822,2024,822,6,A,A
823,2024,823,5,A,A
824,2024,824,11,A,A
825,2024,825,21,B,A
826,2024,826,6,C,A
827,2024,827,6,A,A
828,2024,828,6,A,A
829,2024,829,6,C,A
830,2024,830,7,A,A
831,2024,831,7,A,A
832,2024,832,1,A,A
833,2024,833,1,B,A
834,2024,834,13,A,A
835,2024,835,13,A,A
836,2024,836,6,A,A
837,2024,837,6,A,A
838,2024,838,6,B,A
839,2024,839,6,C,A
840,2024,840,6,B,A
841,2024,841,6,C,A
842,2024,842,6,A,A
843,2024,843,6,A,A
844,2024,844,6,C,A
845,2024,845,13,C,A
846,2024,846,13,B,A
847,2024,847,13,B,A
848,2024,848,6,B,A
849,2024,849,19,B,A
850,2024,850,5,A,A
851,2024,851,1,A,A
852,2024,852,7,A,A
853,2024,853,1,B,A
854,2024,854,1,B,A
855,2024,855,19,B,A
